ResponseId,moves_elem,moves_mid,moves_high,moves_adult,total_moves,coffee,dinner,pizza,books,ice cream,office,gifts,bakery,chocolate,hardware,furniture,grocery,pharmacy,total_chain,age,gender,race,race_write in,years US,license,car
R_5jO5FXZsgWptpAd,3,1,0,0,4,2,1,1,1,2,2,1,1,2,2,1,1,2,9,17,1,2,,17,2,2
R_1oDp9PGPsK9S7wl,1,0,0,0,1,2,2,2,1,1,2,2,1,2,1,2,2,2,4,44,2,2,,44,2,2
R_5wi4PZQPz56ZpFV,3,3,3,8,17,1,2,2,2,1,2,2,1,2,1,2,1,2,1,44,1,2,,44,2,2
R_6GC7JiyB7vZiLal,0,1,0,0,1,2,1,1,1,2,1,1,2,1,2,1,2,2,13,45,2,2,,45,2,2
R_7ojWWksI0OMgNZz,2,0,0,0,2,2,1,2,1,1,1,1,1,2,2,1,2,2,9,19,2,5,,16,2,2
R_6sdnKPgGroPdnnr,1,0,1,6,8,1,1,1,1,2,1,1,2,1,2,1,2,2,12,38,2,2,,1,2,2
R_7LjO9ZqfWj46TyB,0,0,0,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,13,32,1,2,,32,2,2
R_5wPIzWKWqXi6e1b,0,0,0,0,0,2,1,1,1,1,1,1,1,1,2,1,2,2,11,21,2,2,,21,2,2
R_5A0QmFJLy44dKeT,3,0,0,0,3,2,2,1,1,2,1,1,2,1,2,1,2,2,12,,2,2,,,1,1
R_7ls5JwinAgCw0RL,0,0,0,0,0,2,1,1,1,2,1,1,2,1,2,1,2,2,13,23,2,2,,23,2,2
R_5C8zcRkJdihWjmG,3,0,0,6,9,2,1,1,1,2,1,1,2,1,2,1,2,2,13,33,2,3,,33,2,2
R_30GZBCGf3T2lBqR,1,1,1,0,3,2,1,1,1,2,2,1,2,2,2,1,2,2,11,19,2,3,,19,1,1
R_21za56TYiITyF81,0,0,0,0,0,2,1,1,2,2,2,1,1,2,2,2,2,1,7,25,1,1,,0,1,1
